Designation	Obsid	RA	DEC	S/N(g)	Subclass	Source
J204216.10+360057.0	373010137	310.5670939	36.01584	107.29	A1	Hümmerich et al. (2020)
J204202.50+355854.5	373010142	310.5104439	35.9818192	61.18	A1	Shang et al. (2022)
J210351.50+360718.2	373013068	315.964601	36.121749	94.75	A2	Shi et al. (2023)
J204922.38+372816.3	373015171	312.3432594	37.4711961	106.75	A1	Hümmerich et al. (2020)
J194208.15+384137.9	373107101	295.53397	38.693871	176.86	A1	Shang et al. (2022)
J194154.63+380153.1	373107248	295.4776598	38.0314442	296.75	A1	Hümmerich et al. (2020)
J053511.59+170349.2	374412152	83.798329	17.063672	59.2	A1	Shang et al. (2022)
J052134.92+164600.4	374414093	80.395508	16.766793	56.67	A2	Yang et al. (2024)
J052257.15+161121.2	374503058	80.738135	16.189243	144.4	A1	Shi et al. (2023)
J052658.34+155131.6	374504167	81.743096	15.858802	149.2	A7	Hümmerich et al. (2020)
J052735.37+175039.2	374511191	81.897377	17.844249	126.17	A1	Shi et al. (2023)
J052303.57+175547.7	374516038	80.764883	17.929943	66.44	A1	Yang et al. (2024)
J034244.41+503223.9	374603046	55.6850486	50.5399836	379.22	A1	Lu et al. (2025)
J034730.10+492735.1	374605098	56.875435	49.459753	90.02	A5	Shi et al. (2023)
J034140.04+500501.6	374605186	55.416849	50.083783	91.2	A5	Shi et al. (2023)
J035323.41+511945.5	374609203	58.347547	51.329328	136.75	A5	Hümmerich et al. (2020)
J035738.10+522745.9	374612006	59.408786	52.46275	297.39	A1	Hümmerich et al. (2020)
J035704.89+523915.2	374612045	59.2703886	52.6542329	268.61	A1	Yang et al. (2024)
J040150.21+520129.2	374612205	60.459246	52.024802	210.89	A1	Shi et al. (2023)
J040207.61+511231.9	374613041	60.5317389	51.2088761	112.06	A1	Hümmerich et al. (2020)
J035811.41+513459.8	374613168	59.547576	51.583298	196.98	A1	Shi et al. (2023)
J035642.77+513747.2	374613174	59.178214	51.629786	340.66	A1	Hümmerich et al. (2020)
J034854.70+521413.1	374615032	57.227921	52.236975	147.2	A5	Hümmerich et al. (2020)
J034437.84+520717.1	374615152	56.157672	52.121432	85.85	A5	Yang et al. (2024)
J034525.09+523642.2	374616101	56.3545703	52.6117344	236.49	A1	Hümmerich et al. (2020)
J033726.54+523401.6	374616225	54.360619	52.567129	149.41	A5	Hümmerich et al. (2020)
J213011.42+534727.0	374704014	322.547622	53.790851	50.77	A2	Shang et al. (2022)
J213711.95+521246.4	374708213	324.299793	52.212911	55.2	A2	Shang et al. (2022)
J214140.45+082543.9	377801007	325.4182639	8.42886528	315.42	A2	Hümmerich et al. (2020)
J213649.85+104441.6	377803170	324.207711	10.744916	95.53	A7	Yang et al. (2024)
J213225.81+101543.4	377810060	323.107572	10.262069	102.84	A7	Shang et al. (2022)
J214045.49+120849.2	377811241	325.189051	12.147006	429.71	A1	Hümmerich et al. (2020)
J044713.86+540515.6	377901154	71.80631083	54.08768778	333.84	F0	Hümmerich et al. (2020)
J044433.39+540720.9	377905097	71.1391664	54.1224872	280.33	A2	Hümmerich et al. (2020)
J045926.29+535030.4	377907100	74.85906028	53.8418025	291.29	A2	Hümmerich et al. (2022)
J045913.05+541351.0	377907198	74.8043861	54.2308433	51.1	A2	Shang et al. (2022)
J045038.83+544917.1	377908174	72.6618086	54.8214417	121.43	A2	Hümmerich et al. (2020)
